,Symbol,Name,Industry,IndustryCode
0,AAPL,Apple Inc,"컴퓨터, 전화 및 가전제품",571060
1,MSFT,Microsoft Corp,소프트웨어 및 IT서비스,572010
2,AMZN,Amazon.com Inc,다양한 소매업,534020
3,TSLA,Tesla Inc,자동차 및 자동차 부품,531010
4,GOOGL,Alphabet Inc Class A,소프트웨어 및 IT서비스,572010
5,GOOG,Alphabet Inc Class C,소프트웨어 및 IT서비스,572010
6,NVDA,NVIDIA Corp,반도체 및 반도체 장비,571010
7,META,Meta Platforms Inc Class A,소프트웨어 및 IT서비스,572010
8,PEP,PepsiCo Inc,음료,541010
9,COST,Costco Wholesale Corp,다양한 소매업,534020
10,ASML,ASML Holding NV ADR,반도체 및 반도체 장비,571010
11,AVGO,Broadcom Inc,반도체 및 반도체 장비,571010
12,AZN,AstraZeneca PLC ADR,제약,562010
13,ADBE,Adobe Inc,소프트웨어 및 IT서비스,572010
14,CSCO,Cisco Systems Inc,커뮤니케이션 및 네트워킹,571020
15,TMUS,T-Mobile US Inc,통신 서비스,574010
16,CMCSA,Comcast Corp Class A,미디어 및 출판,533020
17,QCOM,Qualcomm Inc,반도체 및 반도체 장비,571010
18,TXN,Texas Instruments Inc,반도체 및 반도체 장비,571010
19,AMD,Advanced Micro Devices Inc,반도체 및 반도체 장비,571010
20,INTC,Intel Corp,반도체 및 반도체 장비,571010
21,AMGN,Amgen Inc,제약,562010
22,HON,Honeywell International Inc,복합 기업,544010
23,INTU,Intuit Inc,핀테크,573010
24,SNY,Sanofi SA ADR,제약,562010
25,PYPL,PayPal Holdings Inc,소프트웨어 및 IT서비스,572010
26,ADP,Automatic Data Processing Inc,소프트웨어 및 IT서비스,572010
27,NFLX,Netflix Inc,소프트웨어 및 IT서비스,572010
28,SBUX,Starbucks Corp,호텔 및 엔터테인먼트,533010
29,JD,JD.Com Inc ADR Class A,다양한 소매업,534020
30,AMAT,Applied Materials Inc,반도체 및 반도체 장비,571010
31,ADI,Analog Devices Inc,반도체 및 반도체 장비,571010
32,MDLZ,Mondelez International Inc Class A,식품 및 담배,541020
33,ISRG,Intuitive Surgical Inc,헬스케어 장비 및 용품,561010
34,BKNG,Booking Holdings Inc,호텔 및 엔터테인먼트,533010
35,GILD,Gilead Sciences Inc,생명과학 및 메디컬 리서치,562020
36,ABNB,Airbnb Inc Class A,소프트웨어 및 IT서비스,572010
37,CME,CME Group Inc Class A,투자은행 및 서비스,551020
38,CHTR,Charter Communications Inc Class A,통신 서비스,574010
39,VRTX,Vertex Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
40,MU,Micron Technology Inc,반도체 및 반도체 장비,571010
41,LRCX,Lam Research Corp,반도체 및 반도체 장비,571010
42,CSX,CSX Corp,화물 및 물류 서비스,524050
43,FISV,Fiserv Inc,전문 및 상업 서비스,522030
44,MRNA,Moderna Inc,생명과학 및 메디컬 리서치,562020
45,REGN,Regeneron Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
46,EQIX,Equinix Inc,주택 및 상업용 리츠,601020
47,ATVI,Activision Blizzard Inc,소프트웨어 및 IT서비스,572010
48,PDD,Pinduoduo Inc ADR,소프트웨어 및 IT서비스,572010
49,NTES,NetEase Inc ADR,소프트웨어 및 IT서비스,572010
50,KLAC,KLA Corp,반도체 및 반도체 장비,571010
51,SNPS,Synopsys Inc,소프트웨어 및 IT서비스,572010
52,KDP,Keurig Dr Pepper Inc,음료,541010
53,TEAM,Atlassian Corporation PLC Class A,소프트웨어 및 IT서비스,572010
54,MAR,Marriott International Inc Class A,호텔 및 엔터테인먼트,533010
55,MNST,Monster Beverage Corp,음료,541010
56,PANW,Palo Alto Networks Inc,소프트웨어 및 IT서비스,572010
57,AEP,American Electric Power Company Inc,전기 유틸리티,591010
58,CDNS,Cadence Design Systems Inc,소프트웨어 및 IT서비스,572010
59,FTNT,Fortinet Inc,소프트웨어 및 IT서비스,572010
60,NXPI,NXP Semiconductors NV,반도체 및 반도체 장비,571010
61,MRVL,Marvell Technology Inc,반도체 및 반도체 장비,571010
62,ADSK,Autodesk Inc,소프트웨어 및 IT서비스,572010
63,BIDU,Baidu Inc ADR,소프트웨어 및 IT서비스,572010
64,PAYX,Paychex Inc,전문 및 상업 서비스,522030
65,KHC,Kraft Heinz Co,식품 및 담배,541020
66,ORLY,O'Reilly Automotive Inc,전문품 상점,534030
67,EXC,Exelon Corp,전기 유틸리티,591010
68,CRWD,CrowdStrike Holdings Inc Class A,소프트웨어 및 IT서비스,572010
69,CTAS,Cintas Corp,전문 및 상업 서비스,522030
70,MELI,Mercadolibre Inc,소프트웨어 및 IT서비스,572010
71,VOD,Vodafone Group PLC ADR,통신 서비스,574010
72,BNTX,BioNTech SE ADR,생명과학 및 메디컬 리서치,562020
73,XEL,Xcel Energy Inc,전기 유틸리티,591010
74,ENPH,Enphase Energy Inc,재생에너지,502010
75,WDAY,Workday Inc Class A,소프트웨어 및 IT서비스,572010
76,LULU,Lululemon Athletica Inc,섬유 및 의류,532020
77,WBD,Warner Bros Discovery Inc Series A,미디어 및 출판,533020
78,MCHP,Microchip Technology Inc,반도체 및 반도체 장비,571010
79,DLTR,Dollar Tree Inc,다양한 소매업,534020
80,SBAC,SBA Communications Corp Class A,주택 및 상업용 리츠,601020
81,EA,Electronic Arts Inc,소프트웨어 및 IT서비스,572010
82,CTSH,Cognizant Technology Solutions Corp Class A,소프트웨어 및 IT서비스,572010
83,DXCM,Dexcom Inc,헬스케어 장비 및 용품,561010
84,ILMN,Illumina Inc,헬스케어 장비 및 용품,561010
85,WBA,Walgreens Boots Alliance Inc,식품 및 약품소매,543010
86,IDXX,IDEXX Laboratories Inc,헬스케어 장비 및 용품,561010
87,DDOG,Datadog Inc Class A,소프트웨어 및 IT서비스,572010
88,ODFL,Old Dominion Freight Line Inc,화물 및 물류 서비스,524050
89,LCID,Lucid Group Inc,자동차 및 자동차 부품,531010
90,SGEN,Seagen Inc,생명과학 및 메디컬 리서치,562020
91,ZM,Zoom Video Communications Inc Class A,소프트웨어 및 IT서비스,572010
92,RIVN,Rivian Automotive Inc Class A,자동차 및 자동차 부품,531010
93,PCAR,Paccar Inc,"건설장비 및 대형차, 기차, 배",521020
94,BIIB,Biogen Inc,제약,562010
95,CPRT,Copart Inc,전문품 상점,534030
96,VRSK,Verisk Analytics Inc,소프트웨어 및 IT서비스,572010
97,NDAQ,Nasdaq Inc,투자은행 및 서비스,551020
98,FAST,Fastenal Co,"건설장비 및 대형차, 기차, 배",521020
99,LI,Li Auto Inc ADR,자동차 및 자동차 부품,531010
100,GFS,Globalfoundries Inc,반도체 및 반도체 장비,571010
101,ON,ON Semiconductor Corp,반도체 및 반도체 장비,571010
102,CSGP,CoStar Group Inc,소프트웨어 및 IT서비스,572010
103,ROST,Ross Stores Inc,전문품 상점,534030
104,TROW,T Rowe Price Group Inc,투자은행 및 서비스,551020
105,EBAY,eBay Inc,소프트웨어 및 IT서비스,572010
106,SIRI,Sirius XM Holdings Inc,미디어 및 출판,533020
107,BKR,Baker Hughes Co Class A,오일 및 가스 장비 및 서비스,501030
108,RPRX,Royalty Pharma PLC Class A,제약,562010
109,CCEP,Coca-Cola Europacific Partners PLC,음료,541010
110,CDW,CDW Corp,소프트웨어 및 IT서비스,572010
111,IBKR,Interactive Brokers Group Inc Class A,투자은행 및 서비스,551020
112,ANSS,ANSYS Inc,소프트웨어 및 IT서비스,572010
113,MPWR,Monolithic Power Systems Inc,반도체 및 반도체 장비,571010
114,SIVB,SVB Financial Group,은행,551010
115,TTD,Trade Desk Inc Class A,소프트웨어 및 IT서비스,572010
116,FITB,Fifth Third Bancorp,은행,551010
117,ERIC,Telefonaktiebolaget LM Ericsson ADR Class B,커뮤니케이션 및 네트워킹,571020
118,GMAB,Genmab A/S ADR,생명과학 및 메디컬 리서치,562020
119,WTW,Willis Towers Watson PLC,보험,553010
120,ZS,Zscaler Inc,소프트웨어 및 IT서비스,572010
